DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2018-05-07,97.245,97.245,97.245,97.245,0.0
2018-05-08,97.235,97.235,97.235,97.235,0.0
2018-05-09,97.21,97.21,97.21,97.21,0.0
2018-05-10,97.19,97.19,97.19,97.19,0.0
2018-05-11,97.175,97.175,97.175,97.175,0.0
2018-05-14,97.17,97.17,97.17,97.17,0.0
2018-05-15,97.14,97.14,97.14,97.14,0.0
2018-05-16,97.13,97.13,97.13,97.13,0.0
2018-05-17,97.115,97.115,97.115,97.115,0.0
2018-05-18,97.14,97.14,97.14,97.14,0.0
2018-05-21,97.125,97.125,97.125,97.125,0.0
2018-05-22,97.135,97.135,97.135,97.135,0.0
2018-05-23,97.185,97.185,97.185,97.185,0.0
2018-05-24,97.215,97.215,97.215,97.215,0.0
2018-05-25,97.245,97.245,97.245,97.245,0.0
2018-05-29,97.46,97.46,97.46,97.46,0.0
2018-05-30,97.365,97.365,97.365,97.365,0.0
2018-05-31,97.37,97.37,97.37,97.37,0.0
2018-06-01,97.3,97.3,97.3,97.3,0.0
2018-06-04,97.26,97.26,97.26,97.26,0.0
2018-06-05,97.28,97.28,97.28,97.28,0.0
2018-06-06,97.24,97.24,97.24,97.24,0.0
2018-06-07,97.25,97.25,97.25,97.25,0.0
2018-06-08,97.285,97.285,97.285,97.285,0.0
2018-06-11,97.275,97.275,97.275,97.275,0.0
2018-06-12,97.26,97.26,97.26,97.26,0.0
2018-06-13,97.225,97.225,97.225,97.225,0.0
2018-06-14,97.225,97.225,97.225,97.225,0.0
2018-06-15,97.24,97.24,97.24,97.24,0.0
2018-06-18,97.23,97.23,97.23,97.23,0.0
2018-06-19,97.26,97.26,97.26,97.26,0.0
2018-06-20,97.255,97.255,97.255,97.255,0.0
2018-06-21,97.265,97.265,97.265,97.265,0.0
2018-06-22,97.265,97.265,97.265,97.265,0.0
2018-06-25,97.295,97.295,97.295,97.295,0.0
2018-06-26,97.31,97.31,97.31,97.31,0.0
2018-06-27,97.355,97.355,97.355,97.355,0.0
2018-06-28,97.36,97.36,97.36,97.36,0.0
2018-06-29,97.355,97.355,97.355,97.355,0.0
2018-07-02,97.355,97.355,97.355,97.355,0.0
2018-07-03,97.36,97.36,97.36,97.36,0.0
2018-07-05,97.345,97.345,97.345,97.345,0.0
2018-07-06,97.365,97.365,97.365,97.365,0.0
2018-07-09,97.355,97.355,97.355,97.355,0.0
2018-07-10,97.345,97.345,97.345,97.345,0.0
2018-07-11,97.35,97.35,97.35,97.35,0.0
2018-07-12,97.345,97.345,97.345,97.345,0.0
